oración,error,corrección,"error cubierto por Avalingua, 1 -sí, 0 - no",sugerencia de Avalingua,"tipo de corrección (reemplazo, inserción, eliminación)",categoría,clasificación de resultados de evaluación,
"En España, la gente hablan muy rápido.",hablan,habla,1,habla,reemplazo,SVA,TP,
Pienso es muy caro.,,que,0,,inserción,Trans,FN,
Me gusta las playas del Mediterráneo.,gusta,gustan,1,gustan,reemplazo,SVA,TP,
Hace tres años trabajé a un bar.,a,en,0,,reemplazo,Prep,FN,
¡Camarero! La sopa es fría.,es,está,0,,reemplazo,SerEstar,FN,
¿Dónde son los servicios?,son,están,0,,reemplazo,SerEstar,FN,
"Vivo en la calle San José, número veinte y cuatro.",veinte y cuatro,veinticuatro,0,,reemplazo,Ort,FN,
Voy a hacer un foto.,un,una,1,una,reemplazo,ArtOrDet,TP,
Suelo ducharme en la mañana.,en,por,0,,reemplazo,Prep,FN,
"Esta frase no es correcta, está un error.",está,es,0,,reemplazo,SerEstar,FN,
Espero que apruebas el examen.,apruebas,apruebes,1,apruebes,reemplazo,Vt,TP,
Gracias para tu regalo.,para,por,1,por,reemplazo,Prep,TP,
¿Has visto el película “Hanníbal”? ,el,la,1,la,reemplazo,ArtOrDet,TP,
Tengo de comprar un nuevo televisor. ,de,que,1,que,reemplazo,ConfW,TP,
Pienso que España es un país muy guapo. ,guapo,bonito,0,,reemplazo,ConfW,FN,
Creo Valencia es muy interesante. ,,que,0,,inserción,Trans,FN,
El año pasado he leído una biografía de Gandhi. ,he leído,leí,0,,reemplazo,Vt,FN,
Necesito comprar unas nuevas gafa de sol. ,gafa,gafas,0,,reemplazo,Agr,FN,
"El 4 de abril, yo regalí a Pedro una radio. ",regalí,regalé,1,"regalo, regaló, regala, regalé, rehalí",reemplazo,SVA,TP,
"El 4 de abril, yo regalé Pedro una radio. ",,a,0,,inserción,Prep,FN,
Anoche me acuesté a las 21.50h. ,acuesté,acosté,1,acueste,reemplazo,Ort,FP,
¿Has encontrado el clase? ,el,la,1,la,reemplazo,ArtOrDet,TP,
¡Ojalá dice la verdad! ,dice,diga,1,diga,reemplazo,Vt,TP,
Esta semana vi un documental muy interesante.,vi,he visto,1,he visto,reemplazo,Vt,TP,
Ayer he limpiado mi coche.,he limpiado,limpié,0,,reemplazo,Vt,FN,
Alicia tiene no tiempo para ir a la playa.,tiene no,no tiene,0,,reemplazo,WOinc,FN,
El mes pasado escribé una carta a Manolo.,escribé,escribí,1,escribe,reemplazo,Ort,FP,
Este mes no he escribido una carta a mi madre.,escribido,escrito,1,escribid,reemplazo,Vform,FP,
Hoy he me levantado a las 8.15h.,he me,me he,0,,reemplazo,WOinc,FN,
Mi coche es roto.,es,está,1,está,reemplazo,SerEstar,TP,
"No me gusta este menú, me voy a un otro restaurante.",un,,1,,eliminación,ArtOrDet,TP,
¿Qué tal? –Soy muy cansado.,soy,estoy,0,,reemplazo,SerEstar,FN,
He cenado a mi casa.,a,en,0,,reemplazo,ArtOrDet,FN,
Cada día tenemos una pausa de once y media a doze.,doze,doce,1,"doce, dote, done, Dize, Dozy",reemplazo,Ort,TP,
Esta es el última frase del ejercicio.,el,la,1,la,reemplazo,ArtOrDet,TP,
Los niños han rompido la bicicleta.,rompido,roto,0,,reemplazo,Vform,FN,
Barcelona es la más mejor ciudad de España.,más,,1,,eliminación,Other,TP,
Necesito 20 euros por pagar al taxi.,por,para,0,,reemplazo,Prep,FN,
Me gusta tomo el sol en mi jardín.,tomo,tomar,0,,reemplazo,Vform,FN,
¿Cómo te encuentras hoy? ¿Eres mejor?,Eres,Estás,0,,reemplazo,SerEstar,FN,
He desayunado café con leche a mi casa.,a,en,0,,reemplazo,Prep,FN,
He llamado mi madre esta mañana.,,a,0,,inserción,Prep,FN,
"En España, las farmacias no son abiertas los domingos.",son,están,0,,reemplazo,SerEstar,FN,
María necesita 18 euros por comprar un nuevo diccionario.,por,para,0,,reemplazo,Prep,FN,
Los ojos de Enrique son azul.,azul,azules,0,,reemplazo,Agr,FN,
Penélope Cruz es la actriz mejor famosa de España.,mejor,más,0,,reemplazo,ConfW,FN,
¿Jugamos el tenis un rato?,el,al,1,al,reemplazo,Prep,TP,
¿Cuánto costa un zumo de naranja?,costa,cuesta,1,,reemplazo,Ort,TP,
Todo el día voy a la escuela en coche.,todo el día,todos los días,0,,reemplazo,Agr,FN,
Yo fumo nunca en el trabajo.,fumo,no fumo,0,,reemplazo,Other,FN,
¿Quieres ir a la playa con mi?,con mi,conmigo,1,mí,reemplazo,Ort,FP,
¿Dónde es la farmacia “Buena Salud”?,es,está,0,,reemplazo,SerEstar,FN,
"Si todo es claro, continuamos.",es,está,0,,reemplazo,SerEstar,FN,
Ayer he ido a la playa con mis amigos.,he ido,fui,0,,reemplazo,Vt,FN,
Anteayer yo escribí un carta a mis padres.,un,una,1,una,reemplazo,ArtOrDet,TP,
Me gusta los hombres con el pelo rubio y largo.,gusta,gustan,0,,reemplazo,SVA,FN,
Quizá vengan mi hermana a visitarme en vacaciones.,vengan,venga,0,,reemplazo,SVA,FN,
Han sacado la foto en la costa y hay unos palmeras.,unos,unas,1,unas,reemplazo,ArtOrDet,TP,
El agua está claro. ,claro,clara,0,,reemplazo,Agr,FN,
Lo que nos atrae la atención es que la arena es muy blanca y por eso diría que la foto está sacado en las Canarias o en el Caribe. (está sacado > sacado),sacado,sacada,1,sacada,reemplazo,Agr,TP,
Hay un pirámide ahí en el fondo de la foto. ,un,una,1,una,reemplazo,ArtOrDet,TP,
Hay una pirámida ahí en el fondo de la foto.,pirámida,pirámide,1,pirámide,reemplazo,Ort,TP,
Hay mucha arina muy blanca.,arina,harina,1,Arina,reemplazo,Ort,FP,
Claramente ha llovado mucho.,llovado,llovido,1,"llevado, llovido, llorado",reemplazo,Ort,TP,
La última hay una chica y un chico que están en dos hamocas que han sido atadas a unas palmeras.,hamocas,hamacas,1,hamacas,reemplazo,Ort,TP,
En dónde la sacó la persona esta foto en cuál parte del mundo?, cuál,qué,1,qué,reemplazo,ConfW,TP,
Durante cuánto tiempo llovaba?,llovaba,llovía,1,"llevaba, lloraba",reemplazo,Ort,FP,
El tiene la edad más cerquita de la mía.,El,Él,1,Él,reemplazo,Ort,TP,
Y el estudiaba en el año doce de la universidad de mis estudios.,el,él,1,él,reemplazo,Ort,TP,
Mi madre acabo de cumplir sesenta años.,acabo,acabó,0,,reemplazo,SVA,FN,
Si te contrata una compañía empiezan las esquemas de perdón de los graduados.,las,los,1,los,reemplazo,ArtOrDet,TP,
Se ve unas nubes en el cielo pero aparte de eso está casi todo azul.,ve,ven,0,,reemplazo,SVA,FN,
La mar está más calmada.,está,es,0,,reemplazo,SerEstar,FN,
En la sexta foto son dos personas.,son,están,0,,reemplazo,SerEstar,FN,
"Las fotos son conectadas todos? Sí, están todas conectadas. ",todos,todas,0,,reemplazo,Agr,FN,
De dónde universidad son las estudiantes?,dónde,qué,0,,reemplazo,Trans,FN,
Estoy muy atrasada porque he tenido muchas otras cosas que hacer para mis otras unidades.,mis,,1,mí,reemplazo,Pron,FP,
Yo creo que es el mejor forma de la cual uno puede mejorar su vocabulario y su lenguaje.,el,la,1,,reemplazo,ArtOrDet,TP,
Las busco en el diccionario y se meten en mi cabeza y se quedan.  ,queda,quedan,1,Los,reemplazo,SVA,FP,
Yo no puedo conducir y los trenes costan un montón.,costan,cuestan,1,"costa, costas, constan, cortan, costar",reemplazo,Ort,FP,
Pasé cinco meses en una lugar que se construyó para niños huérfanos y abandonados.,una,un,1,un,reemplazo,ArtOrDet,TP,
En la primera pictura hay un mar azul y muy bello. ,pictura,pintura,1,"pintura, pistura",reemplazo,Ort,TP,
Hay muchas árboles pero también casi no hay nadie.,muchas,muchos,1,muchos,reemplazo,Agr,TP,
Y tal vez van a quedar un noche en el bosque. ,un,una,1,una,reemplazo,ArtOrDet,TP,
Hay otros personas atrás.,otros,otras,1,otras,reemplazo,Agr,TP,
Hay dos hombres y un mujer que están limpiando el suelo. ,un,una,1,una,reemplazo,ArtOrDet,TP,
Y quién son los personas que están ahí?,los,las,0,,reemplazo,ArtOrDet,FN,
"Pues sí, mis amigos también les gusta tomar sí pero también en los sábados normalmente voy a ver mi equipo de fútbol. ",,a,0,,inserción,Prep,FN,
Me voy en el vacaciones de esquí con la universidad para una semana.,el,las,1,las,reemplazo,ArtOrDet,TP,
"Visitamos Neuschwanstein, el castillo maravelloso, donde hicimos muchas fotografías.",maravelloso,maravilloso,1,maravilloso,reemplazo,Ort,TP,
Todo empezo con un viaje a Madrid.,empezo,empezó,1,empezó,reemplazo,ArtOrDet,TP,
Yo también no fui a clases.,también no,tampoco,0,,reemplazo,Wci,FN,
Es un buen trabajadoro.,trabajadoro,trabajador,1,"trabajador, trabajadora, trabajadero",reemplazo,Agr,TP,
La chica es mucho guapa.,mucho,muy,1,muy,reemplazo,ConfW,TP,
"Había, tras la inauguración del viernes, muchas luces apagados por toda la ciudad",apagados,apagadas,0,,reemplazo,Agr,FN,
"Si vendrá a Madrid, le gustará.",vendrá,viene,0,,reemplazo,Vt,FN,
A nosotros gusta más España.,,nos,1,nos,inserción,Pron,TP,
Diez conocimientos que se aprenden en memoria en los colegios,en,de,0,,reemplazo,Prep,FN,
Es la costumbre de japonesa.,de,,0,,eliminación,Prep,FN,
"Charly ensuentra un bebé cerca de un edificio viejo y no sabe,que hacer con él. ",ensuentra,encuentra,1,encuentra,reemplazo,Ort,TP,
En esa trayectoria nada cambia tanto como la vida sexual.,,,0,,,,TN,
"Ésta ha sido siempre un fermento de la creación artística y literaria y, recíprocamente, pintura, literatura, música, escultura @ @ @ @ @ @ @ @ @ @ humana han contribuido al enriquecimiento del placer a través de la práctica sexual.",,,1,Esta,reemplazo,Ort,FP,
No es abusivo decir que el erotismo representa un momento elevado de la civilización y que es uno de sus componentes determinantes.,,,0,,,,TN,
Para saber cuán primitiva es una comunidad o cuánto ha avanzado en su proceso civilizador nada tan útil como escrutar sus secretos de alcoba y averiguar cómo sus miembros hacen el amor.,,,0,,,,TN,
Es también una actividad que saca a flote aquel os fantasmas escondidos en la irracionalidad que son de índole destructiva y mortífera.,,,0,,,,TN,
¿Qué @ @ @ @ @ @ @ @ @ @ de excelencia y qué fiascos para ser desaprobados? ,,,0,,,,TN,
"¿Dependerá de la cantidad de conocimientos que su memoria retenga o de la velocidad, cantidad y consistencia de los orgasmos que produzca la destreza táctil de chicos y chicas?",,,0,,,,TN,
No tengo el menor reparo moral que oponer a la iniciativa El placer está en tus manos de la Junta de Extremadura.,,,0,,,,TN,
"Reconozco las buenas intenciones que la animan y admito que, mediante campañas de esta índole, no es imposible que disminuyan los embarazos no queridos.",,,0,,,,TN,
Mi crítica es de índole sensual y sexual.,,,0,,,,TN,
Quienes cuestionan su constitucionalidad y encuentran en la justicia cómplices para dilatar su aplicación tienen un claro y único objetivo : fortalecer su posición de poder económico dominante.,,,0,,,,TN,
"El CoFeCA, como órgano con representación federal y de todos los sectores involucrados en la comunicación audiovisual reafirma una vez más su plena convicción del carácter constitucional y democrático de todos los artículos la Ley, esperando una pronta resolución por parte de la Corte Suprema de Justicia.",,,0,,,,TN,
"Esta entrada fue publicada el Viernes, agosto 23, 2013 a las 20:59 pm en las categorías Noticias.",,,0,,,,TN,
Usted puede seguir los comentarios usando el feed RSS 2.0.,,,0,,,,TN,
"Los comentarios están cerrados, pero puede dejar un trackback desde su sitio.",,,0,,,,TN,
Todo este misterio se acrecienta cuando nos enteramos de que el rostro de Vera es igual al de la esposa de @ @ @ @ @ @ @ @ @ @ síndrome de Estocolmo al enamorar se de su captor.,,,0,,,,TN,
"Luego de tomarse un buen tiempo para introducir nos a los personajes, la historia nos remite seis años atrás y nos muestra algunas de las causas de porqué Robert se convirtió en un monstruo al vengar la muerte de su hija.",,,0,,,,TN,
"Este flashback no solo es la respuesta a todo sino que lentamente va jugando con el público, dándole pequeñas pistas que conducirán a una aterradora conclusión.",,,0,,,,TN,
"Esta conclusión quizá podrá resultar previsible para algunos pero resulta tan descabellada que muy pocos se atreverán siquiera a pensar la, un giro de trama que dará que hablar durante mucho tiempo tal como pasara con aquel de Sexto sentido.",,,0,,,,TN,
"Aquí Almodóvar utiliza la piel como metáfora de lo que nos protege, nos define y nos da identidad, esa identidad que Vera luchará por no perder, mientras que Robert lucha con su enfermiza obsesión.",,,0,,,,TN,
Esto sumado a la utilización de los constantes espacios cerrados genera una atmósfera asfixiante como el tono de la historia.,,,0,,,,TN,
"El niño tiene que sentir se orgulloso de sí mismo si quiere superar el daño que le ha causado el abuso, tiene que volver a creer en su inteligencia, en su astucia y en su capacidad de encontrar salidas aunque se encuentre frente a verdaderos callejones oscuros.",,,0,,,,TN,
De la misma manera promover la AUTONOMÍA de el niño en la toma de decisiones.,,,0,,,,TN,
"El magnate australiano de el juego, James Packer, quiere expandir su negocio en el lucrativo mercado japonés con casinos resort, aprovechando la gran afición de la población de ese país por los juegos de azar.",,,0,,,,TN,
"Para su empresa, que opera casinos en Melbourne, Perth y Macao y está planeando complejos en Manila, Sydney y Sri Lanka, el territorio nipón es su próximo gran desafio.",,,0,,,,TN,
Click en la imagen para ver en tamaño original.,,,0,,,,TN,
"El australiano James Packer Packer cree que Japón tiene el potencial de convertir se en una nación top del juego, dada la buena administración y por ser la tercer economía mundial.",,,0,,,,TN,
Ningún niño debería llorar más que por su enfermedad.,,,0,,,,TN,
"Entrevista a Esther Peinado, la madre que logró UCIs abiertas las 24 horas Hace escasos días os explicamos que los padres podrán, por fin, acompañar a sus hijos en las UCI s tanto tiempo como quieran, al permanecer abiertas las 24 horas del día.",,,0,,,,TN,
"Algunos hospitales ya lo hacían, pero otros tenían horarios muy restrictivos que hacían que los niños allí ingresados pasaran la mayor parte del día solos.",,,0,,,,TN,
"Uno de estos hospitales era el Hospital La Fe, de Valencia, donde Esther Peinado, madre de Héctor, ha tenido que pasar mucho tiempo apartada de su hijo contra la voluntad de ambos.",,,0,,,,TN,
"Un buen día Esther empezó a luchar y sus palabras acabaron por llegar hasta la ministra Ana Mato, siendo la semilla de lo que ahora se ha conseguido.",,,0,,,,TN,
A pesar de la militarización y de la masacre del miércoles las protestas no se detienen.,,,0,,,,TN,
"Ayer, fuentes oficiales admitieron que hay al menos 638 muertos.",,,0,,,,TN,
"Los enfrentamientos no ceden en las principales ciudades egipcias Cerrar Seguidores y detractores del depuesto presidente Mohamed Mursi se enfrentaron hoy a tiros en El Cairo y otras ciudades y al menos cinco personas murieron en el este y norte de Egipto, con el país al borde de la guerra civil tras la reciente matanza de opositores al golpe de Estado.",,,0,,,,TN,
"En un informe previo se señaló que había 30 detenidos en la región metropolitana de Santiago, cuatro policías heridos por pedradas y unos 20 @ @ @ @ @ @ @ @ @ @ a la Casa Central de la Universidad de Chile.",,,0,,,,TN,
"Sin embargo, en la noche de ayer, observadores de derechos humanos dijeron a EFE que al menos 50 jóvenes quedaron con diversas lesiones en los disturbios registrados durante la multitudinaria marcha, la mayoría al interior de esa universidad.",,,0,,,,TN,
"En la capital chilena, los incidentes más graves estallaron en las inmediaciones del Centro Cultural Estación Mapocho, cuando un grupo de encapuchados se separó de la marcha y comenzó a lanzar piedras y bombas de tipo molotov a la Policía.",,,0,,,,TN,
"Los bloque opositores que conformaron hace cuatro años el denominado grupo A volvieron a proponer el debate sobre si deben pugnar por la presidencia de la Cámara de Diputados, desconociendo que, de repetir se el resultado nacional de las elecciones primarias, esta debería permanecer en manos del oficialismo.",,,1,él,reemplazo,ArtOrDet,FP,
Esto es llamado hibridización del rol.,,,0,,,,TN,
"En psicología, se dice que Wundt es el principal ejemplo de este proceso, y que usó su antecedentes en fisiología para llevar a cabo una carrera como filósofo; pero un nuevo tipo de filósofo, que realizaba experimentos de laboratorio sobre los problemas en psicología.",,,0,,,,TN,
"Así nació un nuevo rol - - el de psicólogo experimental - a partir de la hibridización de los roles de fisiólogo y filósofo, previamente establecidos.",,,0,,,,TN,
"Para que la psicología llegara a ser establecida como una nueva disciplina científica, simplemente perduró para los demás, @ @ @ @ @ @ @ @ @ @ por Wundt o modelados por su ejemplo.",,,0,,,,TN,
"En realidad, durante el período crítico de su vida, cuando tuvo lugar la reorientación de la fisiología a la filosofía, Wundt se encontraba fuertemente comprometido en asociaciones de trabajadores de la educación y, durante muchos @ @ @ @ @ @ @ @ @ @ del Estado de Baden.",,,0,,,,TN,
"A través de sus propias declaraciones, se aprecia que finalmente se dio cuenta de que no podría combinar una carrera política con una académica ( Sehlette, 1955956 ).",,,0,,,,TN,
"Eligió la última, pero su trabajo académico estuvo cada vez más orientado hacia temas de discusión del más amplio interés humano, cambio que solamente pudo ser facilitado por un pasaje desde la Facultad de Medicina a la Facultad de Filosofía.",,,0,,,,TN,
"En cualquier caso, Wundt resulta una figura singularmente inapropiada para elegir como iniciador de la identidad profesional del psicólogo moderno.",,,0,,,,TN,
"Asimismo, la legisladora manifestó : por supuesto que no podemos plantear sólo una propuesta del tipo penal, sino que vamos a insistir para que se cumpla la ley nacional de salud mental para que las personas con problemas de adicciones reciban atención en los hospitales públicos y para que haya centros de rehabilitación en toda la provincia.",,,0,,,,TN,
"Por otra parte, Escudero recordó que junto al senador Juan Carlos Romero estamos trabajando para que las escuelas públicas de doble jornada sean una realidad y por tal motivo presentamos en el Congreso un proyecto para que se coparticipe la totalidad del impuesto al cheque, para constituir un fondo educativo para avanzar con las escuelas de jornada completa, priorizando las provincias del NOA y NEA.",,,1,sea,reemplazo,Vt,FP,
"Por otra parte, Escudero recordó que junto al senador Juan Carlos Romero estamos trabajando para que las escuelas públicas de doble jornada sean una realidad y por tal motivo presentamos en el Congreso un proyecto para que se coparticipe la totalidad del impuesto al cheque, para constituir un fondo educativo para avanzar con las escuelas de jornada completa, priorizando las provincias del NOA y NEA.",,,1,copartícipe,reemplazo,Ort,FP,
"Queremos igualdad de oportunidades, que los chicos reciban apoyo escolar, contención y aprendan deportes, artes y oficios.",,,0,,,,TN,
"Ante esta situación, el director del Programa Solidario Comunal, Carlos Villavicencio, atribuyó este incremento a que habría disminuido la cantidad de familias a las que se debe cancelar este beneficio en relación al año pasado, resaltando que inclusive disminuyó también el techo presupuestario @ @ @ @ @ @ @ @ @ @ detalló que el año pasado fueron erogados alrededor de Bs.",,,0,,,,TN,
¿Sabemos lo que decimos? ,,,0,,,,TN,
Jesús subió a la montaña a conversar con Dios.,,,0,,,,TN,
Junto a Jesús aparecen Moisés y Elías.,,,0,,,,TN,
"Al ver el acontecimiento Pedro comentó diciendo que sería bueno construir tres carpas en ese lugar, pero no sabía lo que decía.",,,0,,,,TN,
Pedro quería cumplir con lo que sabía hacer.,,,0,,,,TN,
"Su reacción fue espontánea, humana y buena.",,,0,,,,TN,
Eso había aprendido en su casa.,,,0,,,,TN,
Sin embargo no sabía lo que decía.,,,0,,,,TN,
Nosotros en nuestra relación con Dios reaccionamos igual que Pedro: cumplimos con lo que sabemos; decimos: así siempre se hace.,,,0,,,,TN,
No queremos y no sabemos ir más allá.,,,0,,,,TN,
Y a lo mejor no sabemos lo que decimos.,,,0,,,,TN,
"Ante Dios no sabemos cómo reaccionar, entonces como Pedro, repetimos costumbres: Nos ponemos la señal de la cruz, y pensamos que con eso basta, leemos la biblia y con eso basta, ya cumplimos @ @ @ @ @ @ @ @ @ @ vez no sabemos lo que decimos.",,,0,,,,TN,
"Tal vez ha llegado el momento de tener una nueva manera de relacionar nos con Dios, nueva manera de practicar la fe cristiana; y dejar de practicar viejas formas y maneras de prácticas religiosas.",,,0,,,,TN,
Se nota que muchos cristianos no hemos madurado en nuestras prácticas religiosas: repetimos siempre lo mismo.,,,0,,,,TN,
¡Nos hemos estancado!,,,0,,,,TN,
Entonces esas palabras dirigidas a Pedro tienen mucha vigencia.,,,0,,,,TN,
Ya no sabemos lo que decimos.,,,0,,,,TN,
Nuestra práctica religiosa se ha anquilosado.,,,0,,,,TN,
"Para los cristianos no debía ser suficiente repetir costumbres, ritos, formulas, palabras, oraciones, costumbres religiosas; no debía bastar leer la biblia todos los días.",,,0,,,,TN,
Lo importante es aprender a escuchar a Jesús.,,,0,,,,TN,
"Y ese es el desafío, aprender a escuchar a Jesús.",,,0,,,,TN,
"El presunto número 2 de la trama Gürtel, Pablo Crespo, reconoce la entrega de 126.000 euros al partido en efectivo, pero asegura que se debe a la devolución de un crédito de cien millones de pesetas.",,,0,,,,TN,
"Antonio Vilela, ha afirmado que en 2008 donó a título personal al PP 63.000 euros, que declaró a Hacienda, pero ha negado los dos apuntes que aparecen a su nombre en los papeles de Bárcenas con un donativo de 100.000 euros en 2004, según fuentes jurídicas.",,,0,,,,TN,
"Un informe de la Agencia Tributaria enviado al juez del caso Gürtel en la Audiencia Nacional desvela que Bárcenas y su mujer, Rosalía Iglesias, no declararon a Hacienda 1.557.366 euros de IRPF e Impuesto del Patrimonio en los años 2002 y 2003.",,,0,,,,TN,
"El juez Ruz pregunta al fiscal si debe citar a declarar a Cospedal, Aznar, Arenas y Cascos por las donaciones.",,,0,,,,TN,
El juez Pablo Ruz ordena el ingreso en prisión incondicional y sin fianza para el extesorero del PP Luis Bárcenas al constatar el aumento del riesgo de fuga.,,,0,,,,TN,
"Evaluación revela resultados satisfactorios para la AGEM Managua, jueves 23 de abril 2009 / En el marco de la primera reunión del año 2009 del Comité de Seguimiento y Asesoría de la AGEM en Nicaragua, se presentaron los resultados y hallazgos de la evaluación externa de medio término del Programa conjunto UNIFEM - PNUD.",,,0,,,,TN,
"La evaluación arrojó resultados muy satisfactorios para el desarrollo del Programa de la Agenda Económica de las Mujeres ( AGEM ) de cobertura centroamericana, lo cual motiva a sus líderes e integrantes a continuar avanzando y mejorar su incidencia en la región y difundir más sus capacitaciones, estudios, logros y avances en los medios de comunicación, dijo Maria Rosa Renzi, Coordinadora Regional de AGEM.",,,0,,,,TN,
"El respeto y la tolerancia Con ese mismo espíritu de civismo y respeto, el presidente Monson recientemente rogó a los miembros de la Iglesia más comprensión y tolerancia religiosa: Exhorto @ @ @ @ @ @ @ @ @ @, que muestren bondad y respeto hacia todas las personas, en todas partes.",,,0,,,,TN,
Vivimos en un mundo de gran diversidad; nosotros podemos y debemos demostrar respeto hacia las personas cuyas creencias son diferentes de las nuestras.,,,0,,,,TN,
"Servicio humanitario En su rueda de prensa inaugural, que se llevó a cabo el 4 de febrero de 2008, el presidente Monson hizo hincapié en la importancia de la cooperación en las labores de carácter cívico: Tenemos la responsabilidad de estar activos en las comunidades donde vivimos todos los Santos de los Últimos Días, y de cooperar con otras iglesias y organizaciones.",,,0,,,,TN,
"Cantidad de miembros de la Iglesia Más de 14 millones de personas ahora son miembros de la Iglesia, cuya mayoría vive fuera de los Estados Unidos.",,,0,,,,TN,
"Dentro de los Estados Unidos, la Iglesia ocupa el cuarto lugar en número de miembros (sitio en inglés) entre todas las iglesias.",,,0,,,,TN,
"Desde su humilde fundación en 1830, con apenas seis personas en una cabaña de troncos en el norte del estado de Nueva York, la Iglesia ha seguido creciendo en número de miembros y en influencia.",,,0,,,,TN,
Valores éticos o morales La Iglesia de Jesucristo de los Santos de los Últimos Días es una restauración del cristianismo del Nuevo Testamento según lo enseñaron Jesús y Sus apóstoles.,,,0,,,,TN,
"No es protestante, evangélica, católica ni ortodoxa.",,,0,,,,TN,
"Sin embargo, los valores básicos que sigue la Iglesia en cuanto a la moralidad, el civismo y la familia son similares a los de la @ @ @ @ @ @ @ @ @ @ Iglesia hallan refugio contra las incertidumbres del mundo en los mensajes de esperanza y felicidad del Evangelio.",,,0,,,,TN,
"La realidad de que la vida tiene un propósito divino, que Dios se interesa en cada persona y que todos tienen la capacidad de mejorar por medio de decisiones correctas, es una parte central del pensamiento mormón.",,,0,,,,TN,
"El gobierno somocista presto su apoyo ( con algunos guardias nacionales no uniformados ) a exiliados ticos, enemigos del gobierno de Figueres.",,,0,,,,TN,
La justificación somocista para derrocar al gobierno tico era que el gobierno de Costa Rica estaba ayudando a comunistas a derrocar a los gobiernos del área que no fueran de su agrado.,,,0,,,,TN,
"El imperialismo comprendiendo que este conflicto creado por la dictadura somocista podía @ @ @ @ @ @ @ @ @ @ con buenos ojos las actividades belicosas del régimen somocista para derrocar un gobierno democrático, como el de Costa Rica; y para evitar todo este problema que se les venía encima, el imperialismo norteamericano tomó como recurso a la O.E.A Esta, a pedido de los Estados Unidos, condena la participación de fuerzas extrañas en el problema interno del gobierno tico y pidió a Nicaragua que cerrara sus fronteras para evitar suministros adicionales a los rebeldes ticos.",,,0,,,,TN,
"De esta manera, la máxima autoridad departamental, aclaró que existe una clausula dentro del acuerdo firmado con los campesinos donde señala esta situación, razón por la cual expresó que este incremento no se repetiría la próxima gestión, asegurando que esto fue aceptado por los campesinos con la premisa de reorientar este programa.",,,0,,,,TN,
"Y hoy, en nuestros días, en la coyuntura actual, en la vida cotidiana que significa escuchar a Jesús.",,,0,,,,TN,
Por eso la pregunta para todos los cristianos es: ¿Qué significa escuchar a Jesús Hoy? ¿Qué nos dice Jesús en los @ @ @ @ @ @ @ @ @,,,0,,,,TN,
Siento alivio porque tengo que confesar me con ustedes amigos y amigas que me escuchan que llegue a dudar que ni siquiera eso iban a poder hacer y cual madre que mira a su hija recitar o bailar entre dientes solo rogaba que lo hagan bien.,,,0,,,,TN,
Ahí el error político repito que será carísimo.,,,0,,,,TN,
Pero bueno la producción estatal a precio justo pone sobre la mesa otra pregunta de fondo sobre el tipo de estado que queremos la pregunta es que debe y que no debe hacer el estado.,,,0,,,,TN,
"Nos enseñaron los neoliberales a recitar que el estado no debe producir nada mas que burocracia que debe ser el empresariado el que debe ser amamantado con el dinero del estado para producir alimentos ropa, productos.",,,0,,,,TN,
